ජනපදා	2
ජනපදපදෙසා	1
චොරොසි	1
බාලොසි	1
මූළ්හොසි	1
ථෙනොසීති	1
පරිභාසො	1
තථාරූපං	4
ආදියමානොති	1
ආදියමානො	1
හරමානො	1
අවහරමානො	1
විකොපයමානො	1
චාවයමානො	1
සඞ්කෙතං	1
වීතිනාමයමානො	1
අයම්පීති	3
පුරිමං	10
උපාදාය	58
සමසික්ඛාතා	1
නත්ථීති	15
දන්තපොනං	1
ඡින්නං	1
අච්ඡින්නං	3
ආමසති	52
දුක්කටස්ස	568
ඵන්දාපෙති	3
චාවෙති	3
අපදං	1
අහිමච්ඡා	1
ඔචරකො	1
භණ්ඩං	15
ඔචරිත්වා	1
ආචික්ඛති	6
ඉත්ථන්නාමං	74
අවහරාති	7
අවහරති	7
ඔනිරක්ඛො	1
ආහටං	1
ගොපෙන්තො	1
සංවිදාවහාරො	1
සම්බහුලා	64
සංවිදහිත්වා	1
එකො	152
සබ්බෙසං	18
ආණාපෙති	28
මඤ්ඤමානො	12
අඤ්ඤං	185
මූලට්ඨස්ස	4
අවහාරකස්ස	2
ආණාපෙත්වා	4
විප්පටිසාරී	9
සාවෙති	4
අවහරීති	2
සුට්ඨූති	2
ඔරමති	2
සසඤ්ඤිස්ස	1
විස්සාසග්ගාහෙ	1
තාවකාලිකෙ	1
පෙතපරිග්ගහෙ	1
තිරච්ඡානගතපරිග්ගහෙ	1
පංසුකූලසඤ්ඤිස්ස	1
අදින්නාදානම්හි	1
පඨමභාණවාරො	4
රජකෙහි	1
අක්ඛාතා	22
අත්ථරණෙහි	1
අන්ධකාරෙන	2
වෙ	76
පඤ්චහාරණකෙන	1
ඡ	226
නිරුත්තියා	2
වාතෙහි	2
අපරෙ	52
අසම්භින්නෙ	1
කුසාපාතො	1
ජන්තග්ගෙන	1
සහා	6
දස	107
විඝාසෙහි	1
අමූලකා	1
දුබ්භික්ඛෙ	6
කුරමංසඤ්ච	1
පූවසක්ඛලිමොදකා	1
සපරික්ඛාරථවිකං	1
භිසිවංසා	1
නික්ඛමෙ	2
ඛාදනීයඤ්ච	1
විස්සාසං	7
සසඤ්ඤායපරෙ	1
සත්ත	192
නාවහරාමාති	1
සත්තචෙව	1
අවාහරුං	2
සඞ්ඝස්ස	242
අවහරුං	1
පුප්ඵෙහි	1
වුත්තවාදිනො	1
මණි	9
තීණි	118
අතික්කමෙ	1
සූකරා	1
මිගා	4
මච්ඡා	2
යානඤ්චාපි	1
පවට්ටයී	1
පෙසී	3
දාරු	1
පංසුකූලං	6
දකා	1
අනුපුබ්බවිධානෙන	1
තදඤ්ඤො	1
පරිපූරයි	1
